WID,TrialName,ExpCostCondition,TimeCostCondition,Accurate,ShotAngle,ScoreEarned,NumExperiments,PlayTime,ShotTime,ScoreRemaining,WasIntro,TrialOrder,TimedOutShot,ScoreOut,FocusLost
worker_0,intro_1,10,6,True,0.165148677415,0,5,15182.0,359.0,0,True,0,False,True,False
worker_0,intro_2,10,6,False,-0.625485040239,-10,4,12429.0,129.0,0,True,0,False,True,False
worker_0,intro_3,10,6,False,0.1056655821,-10,5,10147.0,784.0,0,True,0,False,True,False
worker_0,intro_4,10,6,True,-2.53158871074,0,6,9849.0,1594.0,0,True,0,False,True,False
worker_0,intro_5,10,6,True,0.577901936962,0,5,9632.0,766.0,0,True,0,False,True,False
worker_0,intro_6,10,6,True,-1.7196862744,0,6,7594.0,478.0,0,True,0,False,True,False
worker_0,intro_7,10,6,False,-0.88085187773,-10,6,8912.0,708.0,0,True,0,False,True,False
worker_0,moderate_2,10,6,True,0.619242436978,0,6,11675.0,82.0,0,False,0,False,True,False
worker_0,hard_6,10,6,True,2.53158871074,0,6,8686.0,260.0,0,False,1,False,True,False
worker_0,hard_2,10,6,False,3.02448390902,-10,7,11121.0,222.0,0,False,2,False,True,False
worker_0,easy_6,10,6,False,-0.76785610334,-10,7,6441.0,316.0,0,False,3,False,True,False
worker_0,easy_3,10,6,True,-0.500739963551,4,8,9930.0,1596.0,4,False,4,False,False,False
worker_0,hard_1,10,6,False,2.62798664887,-10,5,12331.0,966.0,12,False,5,False,False,False
worker_0,easy_2,10,6,True,-1.26353751146,74,1,3073.0,1413.0,74,False,6,False,False,False
worker_0,hard_5,10,6,False,0.0462632624244,-10,5,9127.0,806.0,16,False,7,False,False,False
worker_0,moderate_5,10,6,True,-0.547153405219,58,2,5403.0,1688.0,58,False,8,False,False,False
worker_0,easy_4,10,6,True,-1.21670824457,92,0,5044.0,934.0,92,False,9,False,False,False
worker_0,moderate_1,10,6,True,2.22787126251,74,1,6399.0,1648.0,74,False,10,False,False,False
worker_0,hard_4,10,6,True,-0.569517314388,78,1,2576.0,903.0,78,False,11,False,False,False
worker_0,easy_5,10,6,False,1.35212738092,-10,2,9628.0,1014.0,57,False,12,False,False,False
worker_0,hard_3,10,6,False,1.94344123064,-10,2,4542.0,1778.0,65,False,13,False,False,False
worker_0,easy_1,10,6,True,-0.309328833075,71,1,3822.0,1166.0,71,False,14,False,False,False
worker_0,moderate_6,10,6,True,2.22034574893,76,1,3464.0,1596.0,76,False,15,False,False,False
worker_0,moderate_3,10,6,True,3.13401704094,73,1,3404.0,2335.0,73,False,16,False,False,False
worker_0,moderate_4,10,6,True,-0.41716947765,75,1,3272.0,2358.0,75,False,17,False,False,False
worker_1,intro_1,20,6,True,-1.45059212128,28,2,10404.0,840.0,28,True,0,False,False,False
worker_1,intro_2,20,6,True,-0.410127340541,36,1,8129.0,2864.0,36,True,0,False,False,False
worker_1,intro_3,20,6,False,0,-10,0,1902.0,0.0,88.6,True,0,True,False,False
worker_1,intro_4,20,6,True,-2.53299563976,85,0,2666.0,1674.0,85,True,0,False,False,False
worker_1,intro_5,20,6,False,-0.479634618944,-10,0,1515.0,2985.0,92,True,0,False,False,False
worker_1,intro_6,20,6,True,2.00830609891,90,0,1889.0,1858.0,90,True,0,False,False,False
worker_1,intro_7,20,6,True,-2.24818276549,95,0,1082.0,2467.0,95,True,0,False,False,False
worker_1,easy_6,20,6,True,0.274969667984,91,0,1624.0,647.0,91,False,0,False,False,False
worker_1,easy_2,20,6,True,-2.0372969951,93,0,1383.0,610.0,93,False,1,False,False,False
worker_1,moderate_6,20,6,True,2.08318578711,98,0,538.0,1590.0,98,False,2,False,False,False
worker_1,moderate_2,20,6,False,0,-10,0,952.0,0.0,94.6,False,3,True,False,False
worker_1,easy_1,20,6,True,-0.280198991954,87,0,2208.0,1432.0,87,False,4,False,False,False
worker_1,hard_2,20,6,False,2.7324885923,-10,0,564.0,1598.0,98,False,5,False,False,False
worker_1,moderate_1,20,6,True,2.05316249809,98,0,472.0,1977.0,98,False,6,False,False,False
worker_1,moderate_5,20,6,False,-2.77334193025,-10,0,1404.0,2763.0,92,False,7,False,False,False
worker_1,hard_4,20,6,False,0,-10,0,813.0,0.0,95.2,False,8,True,False,False
worker_1,moderate_3,20,6,True,3.09511452224,98,0,483.0,2638.0,98,False,9,False,False,False
worker_1,easy_5,20,6,False,1.30141986215,-10,0,537.0,2164.0,98,False,10,False,False,False
worker_1,hard_5,20,6,False,-0.477039665477,-10,0,928.0,2930.0,95,False,11,False,False,False
worker_1,hard_6,20,6,True,2.49334259814,95,0,1035.0,1081.0,95,False,12,False,False,False
worker_1,easy_4,20,6,True,-1.41579958487,96,0,751.0,1341.0,96,False,13,False,False,False
worker_1,moderate_4,20,6,True,0.588002603548,98,0,520.0,1743.0,98,False,14,False,False,False
worker_1,hard_3,20,6,False,2.21875174911,-10,0,547.0,939.0,98,False,15,False,False,False
worker_1,easy_3,20,6,True,-0.766995333163,95,0,903.0,1765.0,95,False,16,False,False,False
worker_1,hard_1,20,6,True,2.440792096,97,0,658.0,1578.0,97,False,17,False,False,False
worker_2,intro_1,10,6,True,-2.36664707118,50,2,9070.0,848.0,50,True,0,False,False,False
worker_2,intro_2,10,6,True,-0.271395280802,93,0,5182.0,1924.0,93,True,0,False,False,False
worker_2,intro_3,10,6,False,0,-10,0,1103.0,2901.0,94,True,0,False,False,False
worker_2,intro_4,10,6,False,0,-10,0,2092.0,0.0,88.0,True,0,True,False,False
worker_2,intro_5,10,6,False,0.679413805408,-10,0,5380.0,1484.0,92,True,0,False,False,False
worker_2,intro_6,10,6,True,-1.48862880443,78,1,4427.0,592.0,78,True,0,False,False,False
worker_2,intro_7,10,6,False,-2.27801315659,-10,0,970.0,1826.0,95,True,0,False,False,False
worker_2,moderate_4,10,6,True,-0.447519975157,96,0,5070.0,2016.0,96,False,0,False,False,False
worker_2,moderate_1,10,6,False,2.25222293827,-10,0,4511.0,1714.0,95,False,1,False,False,False
worker_2,easy_5,10,6,True,-1.28006207554,91,0,1664.0,2374.0,91,False,2,False,False,False
worker_2,moderate_6,10,6,True,2.12470573385,92,0,1501.0,1399.0,92,False,3,False,False,False
worker_2,hard_3,10,6,False,1.94168761561,-10,0,1173.0,2439.0,94,False,4,False,False,False
worker_2,hard_5,10,6,True,0.0942084883451,96,0,861.0,2740.0,96,False,5,False,False,False
worker_2,hard_2,10,6,False,0,-10,0,7457.0,0.0,89.8,False,6,True,False,False
worker_2,moderate_5,10,6,False,-0.311279732892,-10,0,1283.0,2107.0,93,False,7,False,False,False
worker_2,hard_6,10,6,True,2.51242014447,95,0,1049.0,1568.0,95,False,8,False,False,False
worker_2,easy_6,10,6,True,1.1583858852,95,0,1046.0,708.0,95,False,9,False,False,False
worker_2,hard_4,10,6,False,-0.515747656642,-10,0,1148.0,1824.0,94,False,10,False,False,False
worker_2,hard_1,10,6,False,2.3403228072,-10,0,1008.0,2489.0,95,False,11,False,False,False
worker_2,easy_4,10,6,True,-1.36115648092,96,0,853.0,1455.0,96,False,12,False,False,False
worker_2,easy_3,10,6,True,-0.649190947818,91,0,1663.0,1408.0,91,False,13,False,False,False
worker_2,easy_2,10,6,True,-1.7126933814,95,0,2465.0,650.0,95,False,14,False,False,False
worker_2,easy_1,10,6,True,-0.299947156497,96,0,838.0,1416.0,96,False,15,False,False,False
worker_2,moderate_2,10,6,False,0.860525319308,-10,0,757.0,1525.0,96,False,16,False,False,False
worker_2,moderate_3,10,6,True,-3.09433057759,92,0,1555.0,1515.0,92,False,17,False,False,False
worker_3,intro_1,20,6,True,-0.107369922036,0,3,8374.0,1285.0,0,True,0,False,True,False
worker_3,intro_2,20,6,True,-0.170211925285,0,2,8095.0,605.0,0,True,0,False,True,False
worker_3,intro_3,20,6,True,-0.156601876982,0,2,10613.0,706.0,0,True,0,False,True,False
worker_3,intro_4,20,6,True,-2.54940597404,0,2,8794.0,671.0,0,True,0,False,True,False
worker_3,intro_5,20,6,False,-0.520404766823,-10,2,11834.0,1593.0,0,True,0,False,True,False
worker_3,intro_6,20,6,True,-1.90935202171,0,3,7780.0,664.0,0,True,0,False,True,False
worker_3,intro_7,20,6,False,0,-10,0,8744.0,0.0,92.2,True,0,True,False,False
worker_3,easy_2,20,6,True,1.70049886395,28,2,6147.0,796.0,28,False,0,False,False,False
worker_3,hard_6,20,6,True,2.50990201925,86,0,6499.0,1856.0,86,False,1,False,False,False
worker_3,hard_4,20,6,False,-0.515809085477,-10,1,10158.0,1864.0,51,False,2,False,False,False
worker_3,easy_5,20,6,False,-1.0568766458,-10,1,5084.0,2062.0,57,False,3,False,False,False
worker_3,moderate_3,20,6,True,3.09616937417,88,0,5531.0,1275.0,88,False,4,False,False,False
worker_3,hard_5,20,6,False,0,-10,0,6687.0,0.0,87.4,False,5,True,False,False
worker_3,moderate_4,20,6,True,-0.407784738677,89,0,1981.0,1670.0,89,False,6,False,False,False
worker_3,moderate_6,20,6,True,2.28250267132,58,1,8300.0,994.0,58,False,7,False,False,False
worker_3,hard_3,20,6,True,2.04022421824,62,1,7726.0,1354.0,62,False,8,False,False,False
worker_3,moderate_5,20,6,False,-0.414138550476,-10,1,3473.0,922.0,63,False,9,False,False,False
worker_3,moderate_2,20,6,True,-0.192395601516,86,0,6937.0,1789.0,86,False,10,False,False,False
worker_3,moderate_1,20,6,True,2.11121582707,91,0,1630.0,2758.0,91,False,11,False,False,False
worker_3,easy_1,20,6,True,-0.139095941482,91,0,1669.0,1486.0,91,False,12,False,False,False
worker_3,hard_1,20,6,False,2.37688119397,-10,3,9755.0,1185.0,0,False,13,False,True,False
worker_3,hard_2,20,6,False,3.09547153758,-10,3,8057.0,1655.0,0,False,14,False,True,False
worker_3,easy_4,20,6,True,-1.13965758608,90,0,4534.0,1180.0,90,False,15,False,False,False
worker_3,easy_6,20,6,True,0.305447651078,90,0,1834.0,850.0,90,False,16,False,False,False
worker_3,easy_3,20,6,False,-0.932476518786,-10,0,2134.0,1438.0,88,False,17,False,False,False
