"","V2","V3","V7","V8","V9","exp","sim","angle"
"1"," easy_1",1e-07,0.5,0.01,0.01,0.0909090909090909,0,0
"2"," easy_2",1e-07,0.5,0.01,0.01,0.363636363636364,0,0.494949494949
"3"," easy_3",1e-07,0.5,0.01,0.01,0.3,0,0.494949494949
"4"," easy_4",1e-07,0.5,0.01,0.01,1.1,0,0.313131313131
"5"," easy_5",1e-07,0.5,0.01,0.01,0.727272727272727,0,0.494949494949
"6"," easy_6",1e-07,0.5,0.01,0.01,0.272727272727273,0,0.494949494949
"7"," hard_1",1e-07,0.5,0.01,0.01,2.27272727272727,0,0.818181818182
"8"," hard_2",1e-07,0.5,0.01,0.01,1.09090909090909,0,0.818181818182
"9"," hard_3",1e-07,0.5,0.01,0.01,1.36363636363636,0,0.626262626263
"10"," hard_4",1e-07,0.5,0.01,0.01,1.2,0,0.929292929293
"11"," hard_5",1e-07,0.5,0.01,0.01,1.81818181818182,0,0.343434343434
"12"," hard_6",1e-07,0.5,0.01,0.01,2.8,0,0.444444444444
"13"," moderate_1",1e-07,0.5,0.01,0.01,0.3,0,0.494949494949
"14"," moderate_2",1e-07,0.5,0.01,0.01,0.454545454545455,0,0.494949494949
"15"," moderate_3",1e-07,0.5,0.01,0.01,1.2,0,0.2979797979795
"16"," moderate_4",1e-07,0.5,0.01,0.01,0.2,0,0.494949494949
"17"," moderate_5",1e-07,0.5,0.01,0.01,1.8,0,0.878787878788
"18"," moderate_6",1e-07,0.5,0.01,0.01,0.545454545454545,0,0.494949494949
"19"," easy_1",1e-07,0.5,0.01,0.01,0.636363636363636,0,0.707070707071
"20"," easy_2",1e-07,0.5,0.01,0.01,0.545454545454545,0,0.494949494949
"21"," easy_3",1e-07,0.5,0.01,0.01,0.4,0,0.494949494949
"22"," easy_4",1e-07,0.5,0.01,0.01,1.4,0,0.313131313131
"23"," easy_5",1e-07,0.5,0.01,0.01,0.727272727272727,0,0.727272727273
"24"," easy_6",1e-07,0.5,0.01,0.01,0.454545454545455,0,0.494949494949
"25"," hard_1",1e-07,0.5,0.01,0.01,2.27272727272727,0,0.818181818182
"26"," hard_2",1e-07,0.5,0.01,0.01,1.72727272727273,0,0.818181818182
"27"," hard_3",1e-07,0.5,0.01,0.01,1.45454545454545,0,0.626262626263
"28"," hard_4",1e-07,0.5,0.01,0.01,1.3,0,0.929292929293
"29"," hard_5",1e-07,0.5,0.01,0.01,2.09090909090909,0,0.343434343434
"30"," hard_6",1e-07,0.5,0.01,0.01,2.2,0,0.444444444444
"31"," moderate_1",1e-07,0.5,0.01,0.01,0.4,0,0.494949494949
"32"," moderate_2",1e-07,0.5,0.01,0.01,0.636363636363636,0,0.494949494949
"33"," moderate_3",1e-07,0.5,0.01,0.01,0.4,0,0
"34"," moderate_4",1e-07,0.5,0.01,0.01,0.8,0,0.5101010101015
"35"," moderate_5",1e-07,0.5,0.01,0.01,0.6,0,0.267676767677
"36"," moderate_6",1e-07,0.5,0.01,0.01,0.636363636363636,0,0.464646464646
"37"," easy_1",1e-07,0.5,0.01,0.01,0.454545454545455,0,0
"38"," easy_2",1e-07,0.5,0.01,0.01,0.636363636363636,0,0.494949494949
"39"," easy_3",1e-07,0.5,0.01,0.01,0.5,0,0.494949494949
"40"," easy_4",1e-07,0.5,0.01,0.01,1.1,0,0.313131313131
"41"," easy_5",1e-07,0.5,0.01,0.01,0.454545454545455,0,0.494949494949
"42"," easy_6",1e-07,0.5,0.01,0.01,0.636363636363636,0,0.464646464646
"43"," hard_1",1e-07,0.5,0.01,0.01,2,0,0.818181818182
"44"," hard_2",1e-07,0.5,0.01,0.01,1.09090909090909,0,0.818181818182
"45"," hard_3",1e-07,0.5,0.01,0.01,1.09090909090909,0,0.626262626263
"46"," hard_4",1e-07,0.5,0.01,0.01,1.7,0,0.929292929293
"47"," hard_5",1e-07,0.5,0.01,0.01,1.81818181818182,0,0.343434343434
"48"," hard_6",1e-07,0.5,0.01,0.01,1.9,0,0.444444444444
"49"," moderate_1",1e-07,0.5,0.01,0.01,0.3,0,0.494949494949
"50"," moderate_2",1e-07,0.5,0.01,0.01,0.363636363636364,0,0.494949494949
"51"," moderate_3",1e-07,0.5,0.01,0.01,0.4,0,0
"52"," moderate_4",1e-07,0.5,0.01,0.01,0.2,0,0.494949494949
"53"," moderate_5",1e-07,0.5,0.01,0.01,0.8,0,0.2626262626265
"54"," moderate_6",1e-07,0.5,0.01,0.01,0.636363636363636,0,0.484848484848
"55"," easy_1",1e-07,0.5,0.01,0.01,0.727272727272727,0,0.545454545455
"56"," easy_2",1e-07,0.5,0.01,0.01,0.454545454545455,0,0.494949494949
"57"," easy_3",1e-07,0.5,0.01,0.01,0.6,0,0.5151515151515
"58"," easy_4",1e-07,0.5,0.01,0.01,1.6,0,0.313131313131
