"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1",3624812," hard_1",1.1,2,4,0.242424242424,0.2,0.00825,0.6
"2",3624812," hard_1",2.2,2,3,0.777777777778,0.2,0.00825,0.6
"3",3624812," moderate_6",1.1,3,4,0.414141414141,0.2,0.00825,0.6
"4",3624812," moderate_6",2.2,2,4,0.656565656566,0.2,0.00825,0.6
"5",3624812," hard_3",1.1,2,3,0.141414141414,0.2,0.00825,0.6
"6",3624812," hard_3",2.2,1,5,0.323232323232,0.2,0.00825,0.6
"7",3624812," hard_2",1.1,2,4,0.656565656566,0.2,0.00825,0.6
"8",3624812," hard_2",2.2,1,4,0.353535353535,0.2,0.00825,0.6
"9",3624812," easy_6",1.1,0,1,0.0909090909091,0.2,0.00825,0.6
"10",3624812," easy_6",2.2,0,1,0.535353535354,0.2,0.00825,0.6
"11",3624812," easy_1",1.1,0,1,0.545454545455,0.2,0.00825,0.6
"12",3624812," easy_1",2.2,0,2,0.535353535354,0.2,0.00825,0.6
"13",3624812," easy_2",1.1,0,1,0.838383838384,0.2,0.00825,0.6
"14",3624812," easy_2",2.2,0,3,0.757575757576,0.2,0.00825,0.6
"15",3624812," hard_5",1.1,2,3,0.929292929293,0.2,0.00825,0.6
"16",3624812," hard_5",2.2,0,5,0.989898989899,0.2,0.00825,0.6
"17",3624812," moderate_2",1.1,2,4,0.505050505051,0.2,0.00825,0.6
"18",3624812," moderate_2",2.2,1,5,0.0707070707071,0.2,0.00825,0.6
"19",3624812," easy_5",1.1,2,2,0.313131313131,0.2,0.00825,0.6
"20",3624812," easy_5",2.2,1,4,0.575757575758,0.2,0.00825,0.6
"21",3624812," moderate_1",1.1,1,4,0.333333333333,0.2,0.00825,0.6
"22",3624812," moderate_1",2.2,0,6,0.777777777778,0.2,0.00825,0.6
"23",3624812," moderate_5",1.1,3,4,0.89898989899,0.2,0.00825,0.6
"24",3624812," moderate_5",2.2,0,7,0.555555555556,0.2,0.00825,0.6
"25",3624812," moderate_4",1.1,2,4,0.929292929293,0.2,0.00825,0.6
"26",3624812," moderate_4",2.2,1,5,0.878787878788,0.2,0.00825,0.6
"27",3624812," easy_4",1.1,0,1,0.808080808081,0.2,0.00825,0.6
"28",3624812," easy_4",2.2,0,4,0.767676767677,0.2,0.00825,0.6
"29",3624812," moderate_3",1.1,2,3,0.505050505051,0.2,0.00825,0.6
"30",3624812," moderate_3",2.2,0,9,0.515151515152,0.2,0.00825,0.6
"31",3624812," hard_4",1.1,2,4,0.89898989899,0.2,0.00825,0.6
"32",3624812," hard_4",2.2,1,6,0.585858585859,0.2,0.00825,0.6
"33",3624812," easy_3",1.1,1,4,0.888888888889,0.2,0.00825,0.6
"34",3624812," easy_3",2.2,0,2,0.111111111111,0.2,0.00825,0.6
"35",3624812," hard_6",1.1,0,6,0.444444444444,0.2,0.00825,0.6
"36",3624812," hard_6",2.2,0,6,0.424242424242,0.2,0.00825,0.6
"37",3524989," hard_1",1.1,3,4,0.383838383838,0.2,0.00825,0.6
"38",3524989," hard_1",2.2,1,4,0.353535353535,0.2,0.00825,0.6
"39",3524989," moderate_6",1.1,0,1,0.343434343434,0.2,0.00825,0.6
"40",3524989," moderate_6",2.2,1,5,0.363636363636,0.2,0.00825,0.6
"41",3524989," hard_3",1.1,2,4,0.323232323232,0.2,0.00825,0.6
"42",3524989," hard_3",2.2,1,7,0.323232323232,0.2,0.00825,0.6
"43",3524989," hard_2",1.1,5,4,0.121212121212,0.2,0.00825,0.6
"44",3524989," hard_2",2.2,3,4,0.656565656566,0.2,0.00825,0.6
"45",3524989," easy_6",1.1,0,1,0.535353535354,0.2,0.00825,0.6
"46",3524989," easy_6",2.2,0,1,0.363636363636,0.2,0.00825,0.6
"47",3524989," easy_1",1.1,1,4,0.525252525253,0.2,0.00825,0.6
"48",3524989," easy_1",2.2,0,6,0.909090909091,0.2,0.00825,0.6
"49",3524989," easy_2",1.1,0,1,0.40404040404,0.2,0.00825,0.6
"50",3524989," easy_2",2.2,0,1,0.737373737374,0.2,0.00825,0.6
"51",3524989," hard_5",1.1,2,4,0.909090909091,0.2,0.00825,0.6
"52",3524989," hard_5",2.2,0,6,0.858585858586,0.2,0.00825,0.6
"53",3524989," moderate_2",1.1,2,3,0.010101010101,0.2,0.00825,0.6
"54",3524989," moderate_2",2.2,1,4,0,0.2,0.00825,0.6
"55",3524989," easy_5",1.1,0,3,0.363636363636,0.2,0.00825,0.6
"56",3524989," easy_5",2.2,1,4,0,0.2,0.00825,0.6
"57",3524989," moderate_1",1.1,2,3,0.818181818182,0.2,0.00825,0.6
"58",3524989," moderate_1",2.2,0,9,0.686868686869,0.2,0.00825,0.6
"59",3524989," moderate_5",1.1,4,4,0.606060606061,0.2,0.00825,0.6
"60",3524989," moderate_5",2.2,0,6,0.848484848485,0.2,0.00825,0.6
"61",3524989," moderate_4",1.1,2,3,0.131313131313,0.2,0.00825,0.6
"62",3524989," moderate_4",2.2,0,5,0.111111111111,0.2,0.00825,0.6
"63",3524989," easy_4",1.1,0,1,0.757575757576,0.2,0.00825,0.6
"64",3524989," easy_4",2.2,0,1,0.181818181818,0.2,0.00825,0.6
"65",3524989," moderate_3",1.1,2,5,0.494949494949,0.2,0.00825,0.6
"66",3524989," moderate_3",2.2,0,6,0.010101010101,0.2,0.00825,0.6
"67",3524989," hard_4",1.1,4,4,0.909090909091,0.2,0.00825,0.6
"68",3524989," hard_4",2.2,1,5,0.929292929293,0.2,0.00825,0.6
"69",3524989," easy_3",1.1,0,1,0.868686868687,0.2,0.00825,0.6
"70",3524989," easy_3",2.2,0,5,0.454545454545,0.2,0.00825,0.6
"71",3524989," hard_6",1.1,0,6,0.343434343434,0.2,0.00825,0.6
"72",3524989," hard_6",2.2,0,10,0.393939393939,0.2,0.00825,0.6
"73",1352071," hard_1",1.1,2,4,0.89898989899,0.2,0.00825,0.6
"74",1352071," hard_1",2.2,2,3,0.89898989899,0.2,0.00825,0.6
"75",1352071," moderate_6",1.1,0,2,0.373737373737,0.2,0.00825,0.6
"76",1352071," moderate_6",2.2,5,3,0.626262626263,0.2,0.00825,0.6
"77",1352071," hard_3",1.1,2,4,0.363636363636,0.2,0.00825,0.6
"78",1352071," hard_3",2.2,1,5,0.353535353535,0.2,0.00825,0.6
"79",1352071," hard_2",1.1,4,4,0.383838383838,0.2,0.00825,0.6
"80",1352071," hard_2",2.2,3,5,0.414141414141,0.2,0.00825,0.6
"81",1352071," easy_6",1.1,0,1,0.222222222222,0.2,0.00825,0.6
"82",1352071," easy_6",2.2,0,1,0.282828282828,0.2,0.00825,0.6
"83",1352071," easy_1",1.1,0,1,0.141414141414,0.2,0.00825,0.6
"84",1352071," easy_1",2.2,0,1,0.989898989899,0.2,0.00825,0.6
"85",1352071," easy_2",1.1,0,1,0.828282828283,0.2,0.00825,0.6
"86",1352071," easy_2",2.2,0,1,0.616161616162,0.2,0.00825,0.6
"87",1352071," hard_5",1.1,4,4,0.414141414141,0.2,0.00825,0.6
"88",1352071," hard_5",2.2,0,6,0.909090909091,0.2,0.00825,0.6
"89",1352071," moderate_2",1.1,2,3,0,0.2,0.00825,0.6
"90",1352071," moderate_2",2.2,1,4,0.424242424242,0.2,0.00825,0.6
"91",1352071," easy_5",1.1,3,4,0.353535353535,0.2,0.00825,0.6
"92",1352071," easy_5",2.2,0,4,0.353535353535,0.2,0.00825,0.6
"93",1352071," moderate_1",1.1,0,2,0.323232323232,0.2,0.00825,0.6
"94",1352071," moderate_1",2.2,0,5,0.757575757576,0.2,0.00825,0.6
"95",1352071," moderate_5",1.1,3,3,0.575757575758,0.2,0.00825,0.6
"96",1352071," moderate_5",2.2,0,5,0.616161616162,0.2,0.00825,0.6
"97",1352071," moderate_4",1.1,2,3,0.363636363636,0.2,0.00825,0.6
"98",1352071," moderate_4",2.2,0,6,0.111111111111,0.2,0.00825,0.6
"99",1352071," easy_4",1.1,0,3,0.727272727273,0.2,0.00825,0.6
"100",1352071," easy_4",2.2,0,3,0.212121212121,0.2,0.00825,0.6
"101",1352071," moderate_3",1.1,1,4,0,0.2,0.00825,0.6
"102",1352071," moderate_3",2.2,0,5,0,0.2,0.00825,0.6
"103",1352071," hard_4",1.1,2,4,0.454545454545,0.2,0.00825,0.6
"104",1352071," hard_4",2.2,1,5,0.0808080808081,0.2,0.00825,0.6
"105",1352071," easy_3",1.1,2,4,0.171717171717,0.2,0.00825,0.6
"106",1352071," easy_3",2.2,0,1,0.131313131313,0.2,0.00825,0.6
